experiment_id,out_dir,purpose,final_full_test_label_gibbs_acc,best_acc_selection_metric,best_epoch,final_epoch,gamma_h,gamma_l,processed_mix,optical_feature_source,audio_feature_source,processed_feature_pattern,seed,total_pbits,hidden_dim,change_note
E018,runs_twoport1024_E018_teacher_optical_raw_audio_diagnostic,teacher_posterior_input_diagnostic,0.9864,0.9864,8,28,1.15,1.15,0.5,teacher_probs,raw,interleave,123,1024,574,"optical=teacher_probs,audio=raw"
E021,runs_twoport1024_E021_e017_seed124,e017_multiseed_confirmation,0.9761,0.9761,4,24,1.15,1.15,0.35,raw_plus_image_rbm_probs,raw_plus_audio_mlp_probs,interleave,124,1024,574,"optical=raw_plus_image_rbm_probs,audio=raw_plus_audio_mlp_probs,mix=0.35,pattern=interleave,gamma_h=1.15,gamma_l=1.15,seed=124"
E022,runs_twoport1024_E022_e017_seed125,e017_multiseed_confirmation,0.9752,0.975,4,24,1.15,1.15,0.35,raw_plus_image_rbm_probs,raw_plus_audio_mlp_probs,interleave,125,1024,574,"optical=raw_plus_image_rbm_probs,audio=raw_plus_audio_mlp_probs,mix=0.35,pattern=interleave,gamma_h=1.15,gamma_l=1.15,seed=125"
E025,runs_twoport1024_E025_e017_seed128,e017_multiseed_confirmation,0.9746,0.9746,4,24,1.15,1.15,0.35,raw_plus_image_rbm_probs,raw_plus_audio_mlp_probs,interleave,128,1024,574,"optical=raw_plus_image_rbm_probs,audio=raw_plus_audio_mlp_probs,mix=0.35,pattern=interleave,gamma_h=1.15,gamma_l=1.15,seed=128"
E032,runs_twoport1024_E032_e017_gamma105,e017_gamma_refine,0.9739,0.9746,6,26,1.05,1.05,0.35,raw_plus_image_rbm_probs,raw_plus_audio_mlp_probs,interleave,123,1024,574,"optical=raw_plus_image_rbm_probs,audio=raw_plus_audio_mlp_probs,mix=0.35,pattern=interleave,gamma_h=1.05,gamma_l=1.05,seed=123"
E024,runs_twoport1024_E024_e017_seed127,e017_multiseed_confirmation,0.9737,0.9729,4,24,1.15,1.15,0.35,raw_plus_image_rbm_probs,raw_plus_audio_mlp_probs,interleave,127,1024,574,"optical=raw_plus_image_rbm_probs,audio=raw_plus_audio_mlp_probs,mix=0.35,pattern=interleave,gamma_h=1.15,gamma_l=1.15,seed=127"
E033,runs_twoport1024_E033_e017_gamma110,e017_gamma_refine,0.9735,0.9738,6,26,1.1,1.1,0.35,raw_plus_image_rbm_probs,raw_plus_audio_mlp_probs,interleave,123,1024,574,"optical=raw_plus_image_rbm_probs,audio=raw_plus_audio_mlp_probs,mix=0.35,pattern=interleave,gamma_h=1.1,gamma_l=1.1,seed=123"
E017,runs_twoport1024_E017_raw_plus_both_mix035,hybrid_processed_both_channels,0.9731,0.9732,6,26,1.15,1.15,0.35,raw_plus_image_rbm_probs,raw_plus_audio_mlp_probs,interleave,123,1024,574,"optical=raw_plus_image_rbm_probs,audio=raw_plus_audio_mlp_probs,mix=0.35"
E028,runs_twoport1024_E028_e017_mix030,e017_mix_sweep,0.9731,0.9732,8,28,1.15,1.15,0.3,raw_plus_image_rbm_probs,raw_plus_audio_mlp_probs,interleave,123,1024,574,"optical=raw_plus_image_rbm_probs,audio=raw_plus_audio_mlp_probs,mix=0.3,pattern=interleave,gamma_h=1.15,gamma_l=1.15,seed=123"
E036,runs_twoport1024_E036_e017_gamma_h110_l120,e017_split_gamma_refine,0.9729,0.9726,6,26,1.1,1.2,0.35,raw_plus_image_rbm_probs,raw_plus_audio_mlp_probs,interleave,123,1024,574,"optical=raw_plus_image_rbm_probs,audio=raw_plus_audio_mlp_probs,mix=0.35,pattern=interleave,gamma_h=1.1,gamma_l=1.2,seed=123"
